tipo_dispositivo,codigo_dispositivo,latitud,longitud,id_barrio
POS,10316693,3.450511126,-76.53831413,737998685
POS,10316933,3.44358254,-76.52185432,738000401
POS,10317998,3.442311029,-76.53071325,737999435
POS,10318517,3.442852581,-76.53211218,737999438
POS,10320729,3.452590576,-76.50927717,737998767
POS,10324960,3.450418621,-76.53158091,737998832
POS,10327385,3.468623902,-76.52676154,737998251
POS,10332260,3.450463211,-76.53172589,737998832
POS,10332369,3.45143722,-76.531871,737998832
POS,10336683,3.457849738,-76.53436597,737998259
POS,10337137,3.442777241,-76.52540299,737999416
POS,10337202,3.45349291,-76.52770239,737998935
POS,10338846,3.459175999,-76.53231927,737998259
POS,10461374,3.480854423,-76.52467565,737998149
POS,10465573,3.471758584,-76.50052487,737999418
POS,10520575,3.463253171,-76.5304016,737998194
POS,10530194,3.452555908,-76.51195879,737998761
POS,10530376,3.461347892,-76.5289406,737998204
POS,10530590,3.476881164,-76.52454839,737998149
POS,10534287,3.463750512,-76.5274415,737998251
POS,10534907,3.469397968,-76.52828147,737998194
POS,10535029,3.411545808,-76.54668378,738001441
POS,10537231,3.443517712,-76.5199841,738000401
POS,10537850,3.432565738,-76.5351343,737998120
POS,10540243,3.430345723,-76.53886504,737998087
POS,10540532,3.459859938,-76.52323912,737998932
POS,10543833,3.450532614,-76.53207791,737998832
POS,10543924,3.451044989,-76.54688325,737996733
POS,10544286,3.406056887,-76.55159337,738001427
POS,10552164,3.452239831,-76.53256078,737998832
POS,10563864,3.368878177,-76.53702021,738000383
POS,10570281,3.398993553,-76.53782639,737998922
POS,10576544,3.398004976,-76.54099635,737998922
POS,10583003,3.466815234,-76.52675565,737998251
POS,10586840,3.487210168,-76.52560793,737998149
POS,10599991,3.475164731,-76.51777032,737998219
POS,10601169,3.440501664,-76.53585724,737999438
POS,10614642,3.476499127,-76.50431348,738000115
POS,10622736,3.429070951,-76.53818507,737998087
POS,10624625,3.396849877,-76.53820707,737998922
POS,10625382,3.481451633,-76.52350097,737998149
POS,10633303,3.452278844,-76.5368641,737998275
POS,10635076,3.450382252,-76.53157003,737998832
POS,10637650,3.470087836,-76.53223972,737998829
POS,10639599,3.479962599,-76.52744592,737998257
POS,10641389,3.463855859,-76.53127353,737998194
POS,10643013,3.442234887,-76.54035572,737998692
POS,10644011,3.457385901,-76.52181813,737998935
POS,10644763,3.451141428,-76.51414526,737998761
POS,10648392,3.452115245,-76.52535672,737998935
POS,10650729,3.480854423,-76.52467565,737998149
POS,10652055,3.459475026,-76.53407474,737998259
POS,10662344,3.450288527,-76.53443821,737998287
POS,10665990,3.459039691,-76.53241818,737998259
POS,10667715,3.440602832,-76.52806627,737999435
POS,10667780,3.339599398,-76.52696016,737996810
POS,10667822,3.43304993,-76.53879564,737998087
POS,10667830,3.420962171,-76.53729272,737998111
POS,10667863,3.406663155,-76.54741114,738001426
POS,10668630,3.407885206,-76.53807401,737998921
POS,10670776,3.444256009,-76.52081856,737998290
POS,10686434,3.45881493,-76.53477231,737998259
POS,10695849,3.433388187,-76.53877833,737998087
POS,10696623,3.40152685,-76.52410043,737998244
POS,10711398,3.441440968,-76.53400229,737998164
POS,10717254,3.430801441,-76.53601904,737998087
POS,10720191,3.418906416,-76.50154883,737996729
POS,10727576,3.419226449,-76.55081272,737998091
POS,10736635,3.437047233,-76.52071062,737998834
POS,10741668,3.437641221,-76.5363795,737999431
POS,10747723,3.460276516,-76.53095727,737998259
POS,10754646,3.463378615,-76.53024465,737998204
POS,10777928,3.432536249,-76.53853192,737998087
POS,10778264,3.421768791,-76.54173355,737998111
POS,10779775,3.46903346,-76.53060479,737998194
POS,10785822,3.462224706,-76.52906188,737998204
POS,10793313,3.450192169,-76.5330744,737998832
POS,10804987,3.455190079,-76.53138098,737998832
POS,10805307,3.43006089,-76.51866683,737996814
POS,10819001,3.434687759,-76.54177754,737999403
POS,10823557,3.464864667,-76.5302598,737998194
POS,10837490,3.448393896,-76.52980078,737998912
POS,10840932,3.466648963,-76.52695565,737998251
POS,10849685,3.460007683,-76.51036041,737998754
POS,10864262,3.450511367,-76.54039205,737998685
POS,10877066,3.458715738,-76.53370349,737998259
POS,10882413,3.448380195,-76.50052253,737999433
POS,10896827,3.452126909,-76.48474485,737999402
POS,10904472,3.472923723,-76.52080991,737998812
POS,10909554,3.392461369,-76.53369924,737998941
POS,10911907,3.408174847,-76.53905937,737998921
POS,10919884,3.459902777,-76.53267708,737998259
POS,10923837,3.471857808,-76.52653084,737998251
POS,10930162,3.444714111,-76.50505815,738000362
POS,10933075,3.468171711,-76.52910863,737998251
POS,10940179,3.468181886,-76.53094199,737998194
POS,10944510,3.444954258,-76.51302181,737998242
POS,10950160,3.451419337,-76.52980843,737998832
POS,10950582,3.468619414,-76.51404229,737998797
POS,10954105,3.466224266,-76.52938804,737998251
POS,10955573,3.451006834,-76.53304959,737998832
POS,10958437,3.428231004,-76.54491739,737999414
POS,10964567,3.371119168,-76.52774051,738000407
POS,10969624,3.435923355,-76.52702561,738068452
POS,10978989,3.431142301,-76.5214722,738018074
POS,10990695,3.483309107,-76.49651911,737998913
POS,11001906,3.452276214,-76.52872962,737998935
POS,11007119,3.434309444,-76.53747559,737998087
POS,11013463,3.42264528,-76.53248952,737998100
POS,11017753,3.466526652,-76.5133565,737998797
POS,11017761,3.479445212,-76.52656073,737998252
POS,11021987,3.446562708,-76.50367594,737998772
POS,11026028,3.449381106,-76.53062226,737998832
POS,11027398,3.448239942,-76.49943825,737999433
POS,11036282,3.400883146,-76.54209134,737998847
POS,11041936,3.46326749,-76.52687812,737998251
POS,11058732,3.4313636,-76.52682346,738000404
POS,11059243,3.464864667,-76.5302598,737998194
POS,11064177,3.375846967,-76.5445445,738000365
POS,11067519,3.414079182,-76.54055871,737998124
POS,11068475,3.452348812,-76.53214058,737998832
POS,11069895,3.427413591,-76.53959931,737999414
POS,11073301,3.454127746,-76.52676787,737998935
POS,11073319,3.455438215,-76.52927616,737998853
POS,11074416,3.459809997,-76.52890212,737998204
POS,11081379,3.442277974,-76.53180177,737998164
POS,11084944,3.435142662,-76.5453741,737999403
